myDate;myTime;mySize;Identifier
08/25/2014;02:12 PM;2,880,033;800001sr_01.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_02.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_03.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_04.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_05.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_06.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_07.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_08.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_09.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_10.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_11.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_12.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_13.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_14.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_15.mp3
08/25/2014;02:12 PM;2,880,417;800001sr_16.mp3
08/25/2014;02:12 PM;1,386,401;800001sr_17.mp3
08/25/2014;02:12 PM;2,879,649;800004sr_01.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_02.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_03.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_04.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_05.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_06.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_07.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_08.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_09.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_10.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_11.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_12.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_13.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_14.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_15.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_16.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_17.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_18.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_19.mp3
08/25/2014;02:12 PM;2,880,033;800004sr_20.mp3
08/25/2014;02:12 PM;2,307,873;800004sr_21.mp3
08/25/2014;02:12 PM;2,879,649;800005sr_01.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_02.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_03.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_04.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_05.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_06.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_07.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_08.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_09.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_10.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_11.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_12.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_13.mp3
08/25/2014;02:12 PM;2,880,033;800005sr_14.mp3
08/25/2014;02:12 PM;723,489;800005sr_15.mp3
08/25/2014;02:12 PM;2,879,649;800006sr_01.mp3
08/25/2014;02:12 PM;2,880,033;800006sr_02.mp3
08/25/2014;02:12 PM;2,880,033;800006sr_03.mp3
08/25/2014;02:12 PM;2,880,033;800006sr_04.mp3
08/25/2014;02:12 PM;2,880,033;800006sr_05.mp3
08/25/2014;02:12 PM;2,612,769;800006sr_06.mp3
08/25/2014;02:12 PM;2,879,649;800007sr_01.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_02.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_03.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_04.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_05.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_06.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_07.mp3
08/25/2014;02:12 PM;2,880,033;800007sr_08.mp3
08/25/2014;02:12 PM;2,419,617;800007sr_09.mp3
08/25/2014;02:12 PM;2,879,852;800008sr_01.mp3
08/25/2014;02:12 PM;2,880,236;800008sr_02.mp3
08/25/2014;02:12 PM;2,880,236;800008sr_03.mp3
08/25/2014;02:12 PM;2,880,236;800008sr_04.mp3
08/25/2014;02:12 PM;2,880,236;800008sr_05.mp3
